Level,Proficiency Bonus,Sorcery Points,Features
1,+2,0,"Spellcasting, Sorcerous Origin"
2,+2,2,Font of Magic
3,+2,3,Metamagic
4,+2,4,Ability Score Improvement
5,+3,5,
6,+3,6,Sorcerous Origin feature
7,+3,7,
8,+3,8,Ability Score Improvement
9,+4,9,
10,+4,10,Metamagic
11,+4,11,
12,+4,12,Ability Score Improvement
13,+5,13,
14,+5,14,Sorcerous Origin feature
15,+5,15,
16,+5,16,Ability Score Improvement
17,+6,17,Metamagic
18,+6,18,Sorcerous Origin feature
19,+6,19,Ability Score Improvement
20,+6,20,Sorcerous Restoration